,Movie,Screen,Sales,Audience,장르,Rate,month,year,개봉일,감독,배우
42,터널,"1,105","57,510,324,417","7,118,592",드라마,12세이상관람가,8,2016,2016-08-10,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정,서현우,배유람,조현철,김수진,윤돈선,주석태,강신철,한성천,김승훈,이장유,이문석,양지수"
43,타짜: 원 아이드 잭,"1,429","19,673,441,214","2,227,671",범죄,청소년관람불가,9,2019,2019-09-11,권오광,"박정민,류승범,최유화,우현,윤제문,이광수,임지연,권해효,이창훈,오동민,현봉식,장준휘,오혜원,여이레,이홍내,이상희,김예은,신문성,이윤상,유정호,남진복,박혁민,황재열,최원"
44,인천상륙작전,"1,049","55,101,410,303","7,049,643",전쟁,12세이상관람가,7,2016,2016-07-27,이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,한비,김희진,진용욱,곽순우,홍기준,우도환,성혁,길금성"
45,럭키,"1,158","56,361,435,256","6,965,706",코미디,15세이상관람가,10,2016,2016-10-13,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,김기정,고준,차엽,이성욱,정희태,김현숙,김시우,김민상,신정섭,최원"
46,은밀하게 위대하게,"1,341","48,663,939,413","6,953,800",액션,15세이상관람가,6,2013,2013-06-05,장철수,"김수현,박기웅,이현우,손현주,박혜숙,김성균,고창석,장광,신정근,홍경인,이채영,박은빈,최우식,이연경,이재남,이주원,장하은,장하진,황의준,송경호,이명규,주현,조영진,성유빈,원현준,이재우"
47,곡성,"1,485","55,853,108,382","6,878,264",미스터리,15세이상관람가,5,2016,2016-05-12,나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은,박성연,최교식,김기천,송훈,신정섭"
48,범죄도시,"1,315","56,077,813,249","6,851,297",범죄,청소년관람불가,10,2017,2017-10-03,강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호"
49,군함도,"2,027","50,510,565,168","6,592,151",액션,15세이상관람가,7,2017,2017-07-26,류승완,"황정민,김규백,명인호,소지섭,송중기,이정현,김수안,지웅배,손용범,박상호,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤2,최호영,이재민,이정민,이정은,이정현,이제훈,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현,여윤호,이준혁,신희철,김동영,이정현,전배수,윤경호,강덕중,김정원,이문석,정병두,김예은,김인우,정만식,정태야,추연규,한윤식"
50,사도,"1,210","48,842,902,501","6,246,849",사극,12세이상관람가,9,2015,2015-09-16,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연,차순배,박명신,박윤호,권범택,김서원"
52,연평해전,"1,013","45,560,620,330","6,043,458",드라마,12세이상관람가,6,2015,2015-06-24,김학순,"김무열,김율호,진구,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정,한창현,장의수,한이진"
