,Movie,Screen,Sales,Audience,Genre,Rate,month,year
304,오! 문희,1110,2610576660,325577,코미디,12세이상관람가,9,2020
305,희생부활자,781,2515479835,323628,미스터리,15세이상관람가,10,2017
306,무뢰한,482,3262087431,414626,멜로/로맨스,청소년관람불가,5,2015
307,도리화가,563,2246950339,317505,사극,12세이상관람가,11,2015
308,레드카펫,385,2404458580,316780,멜로/로맨스,15세이상관람가,10,2014
309,번 더 스테이지: 더 무비,243,2671391900,315010,기타,전체관람가,11,2018
310,위대한 소원,524,2438260213,308180,코미디,15세이상관람가,4,2016
311,덕구,544,2320819700,306126,드라마,전체관람가,4,2018
312,미성년,673,2493769950,293258,드라마,15세이상관람가,4,2019
313,배심원들,784,2303130090,288113,드라마,12세이상관람가,5,2019
314,혼숨,498,2258422445,288016,공포(호러),15세이상관람가,10,2016
315,기방도령,625,2327760190,286806,코미디,15세이상관람가,7,2019
316,다이노 타임,430,2099683100,283300,애니메이션,전체관람가,4,2015
317,극장판 안녕 자두야,523,2124832300,278914,애니메이션,전체관람가,5,2016
318,롤러코스터,374,1913087600,270148,코미디,15세이상관람가,10,2013
319,남과 여,449,1651122533,203775,멜로/로맨스,청소년관람불가,2,2016
320,함정,445,2088685200,257716,스릴러,청소년관람불가,9,2015
321,기묘한 가족,625,2062904275,256202,코미디,12세이상관람가,2,2019
322,밤의 여왕,333,1762892500,252475,멜로/로맨스,15세이상관람가,10,2013
323,극적인 하룻밤,434,2610929429,320923,멜로/로맨스,청소년관람불가,12,2015
324,사이코메트리,429,3964769129,531953,미스터리,청소년관람불가,3,2013
325,어느날,532,1827370582,232016,멜로/로맨스,15세이상관람가,4,2017
326,순정,467,1643792033,229059,드라마,12세이상관람가,2,2016
327,치즈인더트랩,364,1890873700,229005,멜로/로맨스,15세이상관람가,3,2018
328,황제를 위하여,423,4751881771,592041,액션,청소년관람불가,6,2014
329,1급기밀,512,1720083300,217803,드라마,12세이상관람가,1,2018
330,속닥속닥,314,1900914300,217444,공포(호러),15세이상관람가,7,2018
331,헬머니,422,4096141972,519983,코미디,청소년관람불가,3,2015
332,덕수리 5형제,346,1560183200,206953,코미디,15세이상관람가,12,2014
333,창수,415,3146542000,429141,드라마,청소년관람불가,11,2013
334,비스트,737,1596148590,202007,범죄,15세이상관람가,6,2019
335,어린 의뢰인,671,1631919600,198211,드라마,12세이상관람가,5,2019
336,연애의 맛,398,1706805153,212154,멜로/로맨스,청소년관람불가,5,2015
337,언더독,612,1485934830,193484,애니메이션,전체관람가,1,2019
338,두 남자,397,459566121,60365,범죄,청소년관람불가,11,2016
339,런닝맨 : 풀룰루의 역습,511,1414494750,186324,애니메이션,전체관람가,12,2018
340,사라진 시간,874,1651202580,185655,미스터리,15세이상관람가,6,2020
341,우상,900,1581839728,183784,스릴러,15세이상관람가,3,2019
342,마이 리틀 히어로,341,1286203128,183650,드라마,전체관람가,1,2013
343,채비,480,1249977864,175889,드라마,12세이상관람가,11,2017
344,국제수사,1074,1343185920,175843,코미디,15세이상관람가,9,2020
345,톱스타,397,1194180500,175152,드라마,15세이상관람가,10,2013
346,두번할까요,658,1449660120,174938,코미디,15세이상관람가,10,2019
347,아빠를 빌려드립니다,326,1188673500,172445,코미디,12세이상관람가,11,2014
348,자전차왕 엄복동,624,1304861670,172212,드라마,12세이상관람가,2,2019
349,대배우,474,1245426228,169855,코미디,12세이상관람가,3,2016
350,하이힐,385,2735972500,339844,범죄,청소년관람불가,6,2014
351,진범,224,1424601000,167333,스릴러,15세이상관람가,7,2019
352,담보,1342,1290710760,165849,드라마,12세이상관람가,9,2020
353,최강전사 미니특공대 : 새로운 악당의 습격,318,1163431200,154342,애니메이션,전체관람가,2,2015
354,달빛궁궐,425,1134639700,151360,애니메이션,전체관람가,9,2016
355,비정규직 특수요원,497,1150732700,149719,코미디,15세이상관람가,3,2017
356,나의 절친 악당들,384,1054470664,133553,범죄,청소년관람불가,6,2015
