,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1,Point
147,내부자들: 디 오리지널,838,16973885275,2083.999,범죄,청소년관람불가,12,2015,3,10,9.02
148,스윙키즈,984,12077312892,1470.753,드라마,12세이상관람가,12,2018,0,6,8.46
149,부라더,889,11590908298,1468.3010000000000,코미디,12세이상관람가,11,2017,0,17,7.68
150,악질경찰,833,2256615278,262.233,범죄,청소년관람불가,3,2019,3,10,6.05
151,화이: 괴물을 삼킨 아이,817,17678676795,2391.9630000000000,액션,청소년관람불가,10,2013,3,14,7.84
152,나의 특별한 형제,936,11835049574,1441.8130000000000,드라마,12세이상관람가,5,2019,0,6,8.94
153,탐정 홍길동: 사라진 마을,764,11483686845,1426.8730000000000,드라마,15세이상관람가,5,2016,1,6,7.91
154,런닝맨,567,10011200500,1416.0530000000000,액션,15세이상관람가,4,2013,1,14,8.28
155,기억의 밤,751,10652346660,1387.599,미스터리,15세이상관람가,11,2017,1,9,8.41
156,골든슬럼버,833,11412768798,1387.5080000000000,범죄,15세이상관람가,2,2018,1,10,5.74
157,신의 한 수,794,28777712256,3562.123,범죄,청소년관람불가,7,2014,3,10,8.2
158,특별시민,1154,10494768945,1362.634,드라마,15세이상관람가,4,2017,1,6,7.65
159,궁합,966,10478875438,1340.1170000000000,코미디,12세이상관람가,2,2018,0,17,7.0
160,미스터 고,840,9337990000,1328.89,코미디,12세이상관람가,7,2013,0,17,8.1
161,사라진 밤,925,10686397316,1314.274,스릴러,15세이상관람가,3,2018,1,12,7.17
162,장산범,711,10332117083,1305.145,미스터리,15세이상관람가,8,2017,1,9,6.77
163,클로젯,1197,10920792280,1264.97,미스터리,15세이상관람가,2,2020,1,9,7.04
164,유열의 음악앨범,1078,10233455040,1245.532,멜로/로맨스,12세이상관람가,8,2019,0,7,6.2
165,오케이 마담,1288,10979902910,1228.687,코미디,15세이상관람가,8,2020,1,17,6.51
166,특별수사: 사형수의 편지,691,9792082065,1225.142,범죄,15세이상관람가,6,2016,1,10,8.43
167,찌라시: 위험한 소문,560,9111648087,1221.42,범죄,15세이상관람가,2,2014,1,10,7.51
168,결혼전야,524,8431504719,1212.27,멜로/로맨스,15세이상관람가,11,2013,1,7,7.55
169,해치지않아,1216,10154099090,1209.6890000000000,코미디,12세이상관람가,1,2020,0,17,6.38
170,버닝,739,4714345098,528.153,미스터리,청소년관람불가,5,2018,3,9,6.77
171,깡철이,707,8534777462,1204.6660000000000,드라마,15세이상관람가,10,2013,1,6,7.32
172,시간이탈자,733,9729882195,1202.058,스릴러,15세이상관람가,4,2016,1,12,7.65
173,해빙,915,9879737822,1201.576,스릴러,15세이상관람가,3,2017,1,12,6.58
174,더 웹툰: 예고살인,541,8534322070,1201.0330000000000,공포(호러),15세이상관람가,6,2013,1,3,7.44
175,생일,862,9786575840,1186.2830000000000,드라마,전체관람가,4,2019,2,6,7.07
176,전설의 주먹,724,12732236500,1737.253,드라마,청소년관람불가,4,2013,3,6,8.17
177,빅매치,627,8952096578,1177.438,액션,15세이상관람가,11,2014,1,14,7.31
178,"힘을 내요, 미스터 리",990,9887863906,1176.076,코미디,12세이상관람가,9,2019,0,17,7.6
179,동주,499,8864695589,1168.427,드라마,12세이상관람가,2,2016,0,6,9.39
180,장수상회,688,8707389643,1160.935,멜로/로맨스,12세이상관람가,4,2015,0,7,8.81
181,슬로우 비디오,618,8840530219,1159.787,드라마,12세이상관람가,10,2014,0,6,7.99
182,미씽: 사라진 여자,790,8881616256,1153.109,미스터리,15세이상관람가,11,2016,1,9,8.47
183,퍼펙트맨,894,9604139750,1144.894,코미디,15세이상관람가,10,2019,1,17,7.96
184,장사리 : 잊혀진 영웅들,1090,8997921050,1140.876,전쟁,12세이상관람가,9,2019,0,16,8.37
185,고령화 가족,583,8159482153,1139.25,드라마,15세이상관람가,5,2013,1,6,8.15
186,하루,781,9068009842,1129.018,스릴러,15세이상관람가,6,2017,1,12,7.48
187,챔피언,874,9441064230,1125.319,드라마,12세이상관람가,5,2018,0,6,6.56
188,성난 변호사,607,8697174039,1124.9180000000000,범죄,15세이상관람가,10,2015,1,10,8.19
189,"당신, 거기 있어줄래요",767,8999085248,1124.815,판타지,12세이상관람가,12,2016,0,18,8.85
190,간신,697,8946842910,1110.246,사극,청소년관람불가,5,2015,3,11,7.28
191,롱 리브 더 킹: 목포 영웅,965,9218262910,1092.738,액션,15세이상관람가,6,2019,1,14,7.86
192,오빠생각,855,8058857287,1069.4360000000000,드라마,12세이상관람가,1,2016,0,6,8.6
193,악녀,685,9730720144,1206.917,액션,청소년관람불가,6,2017,3,14,7.24
194,그놈이다,681,8098811152,1046.313,스릴러,15세이상관람가,10,2015,1,12,7.68
195,동창생,660,6983395126,1044.522,액션,15세이상관람가,11,2013,1,14,7.78
196,염력,1099,7484644112,990.1040000000000,드라마,15세이상관람가,1,2018,1,6,5.17
197,"날, 보러와요",683,8821335063,1061.412,미스터리,청소년관람불가,4,2016,3,9,7.49
198,미쓰 와이프,437,7357162869,984.265,코미디,15세이상관람가,8,2015,1,17,8.89
199,"고산자, 대동여지도",765,7777473258,971.194,사극,전체관람가,9,2016,2,11,7.68
200,우리는 형제입니다,566,7263255399,970.373,코미디,12세이상관람가,10,2014,0,17,7.46
201,전국노래자랑,581,6606589000,963.6340000000000,코미디,12세이상관람가,5,2013,0,17,7.93
202,나랏말싸미,1211,7871240823,958.775,사극,전체관람가,7,2019,2,11,3.53
203,허삼관,621,7405415569,955.175,드라마,12세이상관람가,1,2015,0,6,7.45
204,인간중독,682,11284787400,1441.964,멜로/로맨스,청소년관람불가,5,2014,3,7,6.75
205,뽀로로 극장판 슈퍼썰매 대모험,459,6819979500,929.985,애니메이션,전체관람가,1,2013,2,13,8.54
206,더 킹,1310,7266896026,905.885,범죄,15세이상관람가,1,2017,1,10,8.14
207,인랑,1085,6994748173,897.548,SF,15세이상관람가,7,2018,1,0,4.01
208,결백,1112,7858105340,893.8560000000000,드라마,15세이상관람가,6,2020,1,6,7.75
209,신비아파트 극장판 하늘도깨비 대 요르문간드,841,7046110380,893.221,애니메이션,전체관람가,12,2019,2,13,8.51
210,극장판 헬로카봇 : 백악기 시대,758,6542619500,874.967,애니메이션,전체관람가,8,2018,2,13,9.24
211,열한시,512,6097792000,870.785,스릴러,15세이상관람가,11,2013,1,12,7.16
212,신세계,671,34881330905,4682.492,범죄,청소년관람불가,2,2013,3,10,8.86
213,좋아해줘,637,6572774337,848.148,멜로/로맨스,12세이상관람가,2,2016,0,7,8.35
214,대립군,809,6276963402,837.5,드라마,15세이상관람가,5,2017,1,6,7.7
215,손님,634,6385295880,827.918,판타지,15세이상관람가,7,2015,1,18,6.48
216,뽀로로 극장판 공룡섬 대모험,803,6203897300,824.079,애니메이션,전체관람가,12,2017,2,13,9.17
217,남쪽으로 튀어,428,5907297500,821.918,코미디,15세이상관람가,2,2013,1,17,8.0
218,레드슈즈,717,6102923190,817.547,애니메이션,전체관람가,7,2019,2,13,9.29
219,카트,544,5809735433,799.275,드라마,12세이상관람가,11,2014,0,6,8.65
220,상의원,466,6202433964,790.158,사극,15세이상관람가,12,2014,1,11,7.94
221,살인의뢰,646,6986456737,855.98,범죄,청소년관람불가,3,2015,3,10,7.11
222,미옥,635,1897705564,238.58700000000000,범죄,청소년관람불가,11,2017,3,10,5.07
223,뽀로로 극장판 보물섬 대모험,736,5886268900,766.758,애니메이션,전체관람가,4,2019,2,13,9.29
224,레슬러,957,6440492657,765.9630000000000,드라마,15세이상관람가,5,2018,1,6,4.99
225,스플릿,702,6097721539,757.43,드라마,15세이상관람가,11,2016,1,6,9.07
226,방황하는 칼날,594,7806377800,987.42,범죄,청소년관람불가,4,2014,3,10,7.96
227,물괴,1183,6104164954,723.414,액션,15세이상관람가,9,2018,1,14,5.26
228,미쓰백,638,6027243066,720.558,드라마,15세이상관람가,10,2018,1,6,9.17
229,국가대표 2,562,5424324942,703.0240000000000,드라마,12세이상관람가,8,2016,0,6,8.67
230,신비아파트: 금빛 도깨비와 비밀의 동굴,762,5001247250,678.091,애니메이션,전체관람가,7,2018,2,13,8.76
231,열정같은소리하고있네,566,4761399902,654.4070000000000,드라마,15세이상관람가,11,2015,1,6,7.61
232,그날의 분위기,592,5142899612,652.453,멜로/로맨스,15세이상관람가,1,2016,1,7,7.14
233,아빠는 딸,520,5047634395,646.4120000000000,코미디,12세이상관람가,4,2017,0,17,8.14
234,사냥,696,4912658515,645.922,액션,15세이상관람가,6,2016,1,14,6.51
235,나를 찾아줘,875,5117014620,645.082,스릴러,15세이상관람가,11,2019,1,12,7.99
236,광대들: 풍문조작단,806,5226776088,637.021,사극,12세이상관람가,8,2019,0,11,6.15
237,관능의 법칙,591,5808789500,773.9960000000000,드라마,청소년관람불가,2,2014,3,6,7.63
238,플랜맨,458,4528561558,632.299,드라마,15세이상관람가,1,2014,1,6,8.39
239,조선마술사,608,4650016527,628.576,드라마,12세이상관람가,12,2015,0,6,7.05
240,해무(海霧),584,11631310219,1466.83,드라마,청소년관람불가,8,2014,3,6,6.83
241,특종: 량첸살인기,776,4754763118,616.481,스릴러,15세이상관람가,10,2015,1,12,7.63
242,서부전선,509,4751661400,609.063,전쟁,12세이상관람가,9,2015,0,16,6.97
243,미스터 주: 사라진 VIP,692,5057108660,601.675,코미디,12세이상관람가,1,2020,0,17,4.66
244,연애의 온도,567,13798864446,1865.195,멜로/로맨스,청소년관람불가,3,2013,3,7,7.31
245,패션왕,523,4338223379,591.125,코미디,15세이상관람가,11,2014,1,17,6.04
246,극장판 헬로카봇 : 달나라를 구해줘!,889,4553434150,587.818,애니메이션,전체관람가,9,2019,2,13,7.48
247,극장판 헬로카봇: 옴파로스 섬의 비밀,752,4485905140,575.3530000000000,애니메이션,전체관람가,1,2019,2,13,8.74
248,양자물리학,799,4526478380,553.879,범죄,15세이상관람가,9,2019,1,10,8.44
249,점박이 한반도의 공룡2 : 새로운 낙원,672,4293073300,550.059,애니메이션,전체관람가,12,2018,2,13,9.19
250,차이나타운,551,11989400678,1472.006,범죄,청소년관람불가,4,2015,3,10,7.21
251,침입자,1365,4806336000,531.214,미스터리,15세이상관람가,6,2020,1,9,5.6
252,널 기다리며,551,5232611336,634.953,스릴러,청소년관람불가,3,2016,3,12,8.05
253,7년의 밤,872,3969337524,528.007,스릴러,15세이상관람가,3,2018,1,12,5.93
254,순수의 시대,546,3702353828,465.49200000000000,사극,청소년관람불가,3,2015,3,11,7.01
255,가려진 시간,884,3946462400,510.87800000000000,드라마,12세이상관람가,11,2016,0,6,8.45
256,남자사용설명서,372,3602049257,507.25700000000000,코미디,15세이상관람가,2,2013,1,17,7.64
257,캐치미,517,3387483000,492.773,코미디,12세이상관람가,12,2013,0,17,7.31
258,무서운 이야기 2,337,3375472500,492.465,미스터리,15세이상관람가,6,2013,1,9,7.2
259,또 하나의 약속,192,3470184400,489.409,드라마,12세이상관람가,2,2014,0,6,9.32
260,침묵,634,3873542364,487.897,드라마,15세이상관람가,11,2017,1,6,7.84
261,해어화,572,3763852759,485.083,사극,15세이상관람가,4,2016,1,11,8.02
262,계춘할망,526,3589317348,480.98700000000000,가족,15세이상관람가,5,2016,1,1,8.71
263,소녀괴담,455,3546340054,480.528,미스터리,15세이상관람가,7,2014,1,9,6.26
264,조선미녀삼총사,388,3471341321,480.361,코미디,12세이상관람가,1,2014,0,17,5.47
265,넛잡: 땅콩 도둑들,382,3280608100,478.392,애니메이션,전체관람가,1,2014,2,13,6.61
266,"로봇, 소리",609,3519595560,476.665,드라마,12세이상관람가,1,2016,0,6,8.66
267,변산,763,3886052473,474.13700000000000,드라마,15세이상관람가,7,2018,1,6,7.93
268,위험한 상견례 2,429,3575384754,472.69300000000000,멜로/로맨스,15세이상관람가,4,2015,1,7,7.38
269,나를 기억해,545,1227953892,140.849,미스터리,청소년관람불가,4,2018,3,9,6.84
270,마담 뺑덕,536,3685882590,465.749,멜로/로맨스,청소년관람불가,10,2014,3,7,6.99
271,언니,530,1746373250,197.13400000000000,액션,청소년관람불가,1,2019,3,14,6.09
272,동네사람들,731,3797676112,459.02,액션,15세이상관람가,11,2018,1,14,6.61
273,노브레싱,584,2991824739,451.66900000000000,드라마,15세이상관람가,10,2013,1,6,7.96
274,원더풀 고스트,351,3720931600,450.374,코미디,12세이상관람가,9,2018,0,17,7.26
275,반드시 잡는다,565,3324033772,446.379,스릴러,15세이상관람가,11,2017,1,12,8.26
276,뽀로로 극장판 컴퓨터 왕국 대모험,544,3290582700,445.014,애니메이션,전체관람가,12,2015,2,13,8.82
277,감쪽같은 그녀,761,3377895790,436.25700000000000,드라마,전체관람가,12,2019,2,6,7.61
278,원라인,613,3310122433,433.825,범죄,15세이상관람가,3,2017,1,10,8.41
279,"협녀, 칼의 기억",572,3360045489,431.31,사극,15세이상관람가,8,2015,1,11,5.66
280,몬스터,527,4136202515,526.2820000000000,스릴러,청소년관람불가,3,2014,3,12,6.55
281,오피스,425,3354086230,428.42900000000000,스릴러,15세이상관람가,9,2015,1,12,6.63
282,나를 잊지 말아요,559,3398915000,425.79900000000000,멜로/로맨스,15세이상관람가,1,2016,1,7,6.95
283,흥부: 글로 세상을 바꾼 자,627,3381050200,416.30300000000000,사극,12세이상관람가,2,2018,0,11,4.41
284,우는 남자,508,4883740800,599.05,액션,청소년관람불가,6,2014,3,14,6.31
285,극장판 공룡메카드: 타이니소어의 섬,763,3140214420,410.131,애니메이션,전체관람가,1,2019,2,13,9.18
286,넛잡 2,526,3038945100,407.727,애니메이션,전체관람가,10,2017,2,13,8.86
287,비밀은 없다,502,2027801239,250.65,스릴러,청소년관람불가,6,2016,3,12,6.42
