,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1,Point
132,파파로티,552,11808286000,1713.891,드라마,15세이상관람가,3,2013,1,6,8.11
133,쎄시봉,829,13509581911,1707.487,멜로/로맨스,15세이상관람가,2,2015,1,7,5.79
134,피끓는 청춘,679,11688382888,1676.04,코미디,15세이상관람가,1,2014,1,17,7.89
135,PMC: 더 벙커,1081,14024838424,1671.5480000000000,액션,15세이상관람가,12,2018,1,14,5.43
136,임금님의 사건수첩,1054,12648793723,1634.4030000000000,코미디,12세이상관람가,4,2017,0,17,8.04
137,걸캅스,973,13772604134,1625.037,코미디,15세이상관람가,5,2019,1,17,5.63
138,우아한 거짓말,555,11694011300,1613.392,드라마,12세이상관람가,3,2014,0,6,8.25
139,두근두근 내 인생,629,12191623034,1611.519,드라마,12세이상관람가,9,2014,0,6,7.23
140,사자,1405,12917306145,1609.737,미스터리,15세이상관람가,7,2019,1,9,7.25
141,창궐,1351,13275772490,1599.29,사극,15세이상관람가,10,2018,1,11,5.49
142,더 폰,794,12309164568,1593.694,스릴러,15세이상관람가,10,2015,1,12,7.52
143,성난황소,1010,13236490737,1593.386,범죄,15세이상관람가,11,2018,1,10,7.91
144,도어락,954,12694612486,1545.442,스릴러,15세이상관람가,12,2018,1,12,6.57
145,정직한 후보,1187,12765456530,1525.7180000000000,코미디,12세이상관람가,2,2020,0,17,7.79
146,리틀 포레스트,884,11924818185,1505.56,드라마,전체관람가,2,2018,2,6,8.78
